FGSM-2/255: resnet50_norm: AR = 99.84 , ACC = 95.73, AM = 79.99
FGSM-4/255: resnet50_norm: AR = 99.55 , ACC = 94.49, AM = 75.14
FGSM-8/255: resnet50_norm: AR = 97.90 , ACC = 91.07, AM = 64.95
I-FGSM-2/255-5: resnet50_norm: AR = 100.00 , ACC = 99.90, AM = 99.52
I-FGSM-2/255-10: resnet50_norm: AR = 100.00 , ACC = 99.99, AM = 99.94
I-FGSM-4/255-5: resnet50_norm: AR = 99.99 , ACC = 99.95, AM = 99.79
I-FGSM-4/255-10: resnet50_norm: AR = 100.00 , ACC = 100.00, AM = 100.00
I-FGSM-8/255-5: resnet50_norm: AR = 99.99 , ACC = 99.95, AM = 99.77
I-FGSM-8/255-10: resnet50_norm: AR = 100.00 , ACC = 100.00, AM = 100.00
FGSM-2/255: resnet101_norm: AR = 97.23 , ACC = 93.90, AM = 79.31
FGSM-4/255: resnet101_norm: AR = 95.49 , ACC = 91.79, AM = 75.56
FGSM-8/255: resnet101_norm: AR = 92.80 , ACC = 88.13, AM = 67.62
I-FGSM-2/255-5: resnet101_norm: AR = 99.74 , ACC = 99.45, AM = 98.16
I-FGSM-2/255-10: resnet101_norm: AR = 99.70 , ACC = 99.52, AM = 98.74
I-FGSM-4/255-5: resnet101_norm: AR = 99.37 , ACC = 99.19, AM = 98.40
I-FGSM-4/255-10: resnet101_norm: AR = 99.71 , ACC = 99.68, AM = 99.56
I-FGSM-8/255-5: resnet101_norm: AR = 99.22 , ACC = 99.04, AM = 98.24
I-FGSM-8/255-10: resnet101_norm: AR = 99.71 , ACC = 99.68, AM = 99.55
FGSM-2/255: densenet169_norm: AR = 99.79 , ACC = 97.40, AM = 90.69
FGSM-4/255: densenet169_norm: AR = 99.37 , ACC = 96.29, AM = 87.65
FGSM-8/255: densenet169_norm: AR = 97.91 , ACC = 93.12, AM = 79.68
I-FGSM-2/255-5: densenet169_norm: AR = 99.93 , ACC = 99.91, AM = 99.85
I-FGSM-2/255-10: densenet169_norm: AR = 99.89 , ACC = 99.84, AM = 99.69
I-FGSM-4/255-5: densenet169_norm: AR = 99.75 , ACC = 99.75, AM = 99.75
I-FGSM-4/255-10: densenet169_norm: AR = 99.88 , ACC = 99.82, AM = 99.66
I-FGSM-8/255-5: densenet169_norm: AR = 99.64 , ACC = 99.65, AM = 99.67
I-FGSM-8/255-10: densenet169_norm: AR = 99.83 , ACC = 99.79, AM = 99.66
FGSM-2/255: efficientnet_b4_norm: AR = 94.77 , ACC = 90.65, AM = 76.49
FGSM-4/255: efficientnet_b4_norm: AR = 91.82 , ACC = 87.79, AM = 73.92
FGSM-8/255: efficientnet_b4_norm: AR = 89.60 , ACC = 85.19, AM = 70.02
I-FGSM-2/255-5: efficientnet_b4_norm: AR = 99.55 , ACC = 99.28, AM = 98.33
I-FGSM-2/255-10: efficientnet_b4_norm: AR = 99.59 , ACC = 99.41, AM = 98.78
I-FGSM-4/255-5: efficientnet_b4_norm: AR = 99.20 , ACC = 98.94, AM = 98.05
I-FGSM-4/255-10: efficientnet_b4_norm: AR = 99.67 , ACC = 99.62, AM = 99.45
I-FGSM-8/255-5: efficientnet_b4_norm: AR = 98.99 , ACC = 98.72, AM = 97.81
I-FGSM-8/255-10: efficientnet_b4_norm: AR = 99.63 , ACC = 99.59, AM = 99.47
FGSM-2/255: vit_base_patch16_224_norm: AR = 99.33 , ACC = 95.39, AM = 82.87
FGSM-4/255: vit_base_patch16_224_norm: AR = 97.60 , ACC = 93.72, AM = 81.35
